Symbol,Sector,Current_Price,Accumulation_Score,Bullish_Probability,Volume_Accumulation,Consolidation_Periods,Technical_Signals,Breakout_Signals,Current_RSI,Price_vs_200MA,Volume_Ratio,Bullish_Engulfing,Bearish_Engulfing,Hammer_Pattern,Doji_Pattern,Data_Years
ICICIPRULI.NS,UNKNOWN,642.9000244140625,0.625,0.75,0.415,0,12,14,53.93,13.81,1.99,14,32,9,41,8.8
GNFC.NS,CHEMICALS,547.5499877929688,0.653,0.25,0.377,1,32,55,52.49,-5.71,0.33,36,69,20,118,20.1
BEML.NS,UNKNOWN,4547.2001953125,0.639,0.5,0.464,0,49,57,64.01,88.33,0.5,40,69,18,106,20.1
FSL.NS,UNKNOWN,356.8500061035156,0.65,0.5,0.365,1,29,60,51.07,83.22,0.31,31,60,14,86,18.5
TRENT.NS,UNKNOWN,5417.5,0.639,0.5,0.462,0,19,67,47.06,75.3,0.42,49,56,16,115,20.1
INDIANB.NS,UNKNOWN,637.9500122070312,0.624,0.5,0.413,0,37,53,64.29,80.87,0.72,40,60,17,106,18.5
INDHOTEL.NS,UNKNOWN,753.9500122070312,0.63,0.5,0.434,0,34,56,49.2,66.03,0.62,47,68,17,129,20.1
CROMPTON.NS,UNKNOWN,349.6000061035156,0.608,0.25,0.36,0,13,15,49.21,-0.87,0.88,21,28,9,60,9.2
INFY.NS,TECH,1583.5,0.819,0.5,0.395,11,23,56,46.76,3.32,0.83,43,59,19,122,20.1
IDBI.NS,UNKNOWN,97.58235168457031,0.619,0.5,0.398,0,42,41,61.37,57.0,0.64,45,70,19,114,20.1
CERA.NS,UNKNOWN,7052.5,0.617,0.75,0.389,0,14,56,58.84,9.99,2.31,42,44,18,119,17.8
DALBHARAT.NS,UNKNOWN,2189.60009765625,0.55,0.5,0.433,0,6,15,63.25,18.02,0.57,15,33,4,39,6.6
BDL.NS,UNKNOWN,1742.9000244140625,0.63,0.75,0.433,0,11,25,57.74,129.73,0.38,24,13,2,33,7.4
HSCL.NS,UNKNOWN,517.7000122070312,0.619,0.75,0.398,0,32,53,56.7,106.61,1.39,39,59,15,125,18.5
INDOSTAR.NS,UNKNOWN,313.95001220703125,0.606,0.5,0.354,0,22,7,52.49,46.69,1.07,9,20,11,45,7.2
LALPATHLAB.NS,UNKNOWN,2982.300048828125,0.673,0.5,0.443,1,11,23,58.03,15.37,0.62,18,34,3,69,9.6
HAL.NS,REALTY,4789.2998046875,0.619,0.5,0.463,0,9,37,57.09,96.58,0.29,11,28,4,41,7.3
TITAN.NS,UNKNOWN,3433.300048828125,0.726,0.5,0.487,2,19,85,50.66,16.1,0.61,44,73,21,118,20.1
CHALET.NS,UNKNOWN,922.25,0.564,0.75,0.412,0,7,21,57.81,64.65,1.8,13,19,4,45,6.5
EIHOTEL.NS,UNKNOWN,384.5,0.621,0.5,0.405,0,33,43,54.16,47.05,0.72,44,50,13,133,20.1
HDFCBANK.NS,BANKING,1986.9000244140625,0.802,0.5,0.473,4,17,57,66.54,27.58,0.68,49,51,26,101,20.1
CHAMBLFERT.NS,UNKNOWN,554.9000244140625,0.629,0.5,0.431,0,31,55,47.52,44.86,0.46,53,64,17,131,20.1
INDIAGLYCO.NS,UNKNOWN,1926.5999755859375,0.622,0.5,0.405,0,30,57,64.71,105.74,0.82,43,62,7,124,20.1
ASTRAZEN.NS,UNKNOWN,9362.0,0.669,0.5,0.43,1,21,50,59.76,94.66,0.71,39,43,17,113,20.1
DABUR.NS,FMCG,523.4500122070312,0.836,0.25,0.452,7,17,37,59.8,-2.17,0.57,56,73,25,121,20.1
